ID,Campaign Name,Description,Naming Series,ID (Campaign Schedules),Email Template (Campaign Schedules),Send After (days) (Campaign Schedules)
CAMP-0001,Kampagne 0001 - revolutionize dynamic initiatives,Zimmer hängen nun Bauer schreiben. Küche schlagen Minutenmir voll gerade dem wie zurück. Gesicht schön Hilfe alle Sohn ein. Hinter wirklich Wissen Meer.,CAMP-.YYYY.-,,,
CAMP-0002,Kampagne 0002 - embrace proactive vortals,Stunde Mama haben. Zurück wie gelb ob jeder. Polizei Wasser bis gestern fehlen sollen Schluss Dorf.,CAMP-.YYYY.-,,,
CAMP-0003,Kampagne 0003 - expedite real-time metrics,Suchen Bett vom jeder wahr. Zeit schlimm zehn durch offen unten wohl. Mann suchen überall Wasser immer uns.,CAMP-.YYYY.-,,,
CAMP-0004,Kampagne 0004 - productize real-time supply-chains,Damit oben erst schon Tür fehlen nach bin. Vielleicht Auto Bauer neu. Tür sie Schuh gewinnen schlafen.,CAMP-.YYYY.-,,,
CAMP-0005,Kampagne 0005 - monetize killer schemas,Rennen waschen weiß Geschichte. Früher mehr die gleich Jahr sagen schlecht. Denn spielen Platz ihr.,CAMP-.YYYY.-,,,
CAMP-0006,Kampagne 0006 - synthesize cutting-edge e-services,Wahr gut Licht essen klein mit Leben. Wünschen rechnen Leute Frage lernen. Oder nah holen eigentlich.,CAMP-.YYYY.-,,,
CAMP-0007,Kampagne 0007 - deploy seamless markets,Heraus gar gut alle die. Junge selbst klettern Fuß. Hund ein Hase unten also.,CAMP-.YYYY.-,,,
CAMP-0008,Kampagne 0008 - incubate 24/7 platforms,Erst gefährlich fallen sitzen alt plötzlich immer Minute. Bild schön bei gegen. Bruder bis von zur wenig stellen.,CAMP-.YYYY.-,,,
CAMP-0009,Kampagne 0009 - re-intermediate ubiquitous web-readiness,Musik liegen Glück warten sechs. Schlagen fest Geld Angst einfach rot es. Kennen einfach ganz drehen klettern Mensch einigen wer.,CAMP-.YYYY.-,,,
CAMP-0010,Kampagne 0010 - drive ubiquitous partnerships,Welt mögen Angst fast. Nase heißen also aus Geld Bett wird tief. Hin Weg werden fallen Katze Ferien alle Straße.,CAMP-.YYYY.-,,,
CAMP-0011,Kampagne 0011 - leverage innovative deliverables,Alt allein einmal denn Beispiel Opa. Schiff dick sitzen rennen.,CAMP-.YYYY.-,,,
CAMP-0012,Kampagne 0012 - mesh cross-media technologies,Waschen mehr hören verkaufen. Für gern nächste Frau bleiben See.,CAMP-.YYYY.-,,,
CAMP-0013,Kampagne 0013 - revolutionize intuitive technologies,Erst wichtig ja schicken schlafen Bild Maus. Dunkel ich Klasse neu. Verstecken turnen lesen erst unser Mann wirklich fertig. Auch ihn Hilfe Zug.,CAMP-.YYYY.-,,,
CAMP-0014,Kampagne 0014 - benchmark 24/365 vortals,Gab kann an rot gehören versuchen verstehen. Eigentlich Essen von kommen.,CAMP-.YYYY.-,,,
CAMP-0015,Kampagne 0015 - e-enable clicks-and-mortar partnerships,Katze nah blau tun gesund Lehrer treffen. Lieb danach Rad freuen.,CAMP-.YYYY.-,,,
CAMP-0016,Kampagne 0016 - unleash cross-platform e-commerce,Schlimm bei schon müssen Lehrerin nächste. Milch rechnen sich kommen Bruder sieht wenn zurück.,CAMP-.YYYY.-,,,
CAMP-0017,Kampagne 0017 - reinvent killer convergence,Vergessen ziehen als noch möglich anfangen jetzt. Mann alt Gott ihn nichts treffen versuchen. Dauern kann zehn gab.,CAMP-.YYYY.-,,,
CAMP-0018,Kampagne 0018 - synergize world-class systems,Tun grün Polizei dunkel Brief laut. Darauf Welt also beide. Neu dem Lehrer halten dem sehr.,CAMP-.YYYY.-,,,
CAMP-0019,Kampagne 0019 - cultivate killer web services,Rad Schuh dann verlieren Bein tot Wasser. Zeit Land rufen Apfel turnen Jahr nichts nah. Tisch traurig jetzt Zeitung langsam als.,CAMP-.YYYY.-,,,
CAMP-0020,Kampagne 0020 - cultivate B2B metrics,Packen schicken Ende Katze über Wasser. Tag gut davon Mädchen wieder langsam.,CAMP-.YYYY.-,,,
