ID                      ,Company   ,Conversion Rate ,Currency ,Item                ,Quantity ,Default Source Warehouse ,Default Target Warehouse ,Item Description                                                                                    ,Item Name        ,Item Code (Items)      ,Qty (Items) ,Rate (Items) ,UOM (Items)
BOM-BIKE-STANDARD-002   ,Velo GmbH ,            1.0 ,EUR      ,STO-BIKE-2024-0005 ,     1.0 ,Lager Stuttgart - B      ,Lager Stuttgart - B      ,"Komfortables Stadtrad mit hochwertiger Ausstattung für den täglichen Gebrauch."                  ,Velo City Life   ,                       ,            ,             ,
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-F009   ,        1.0 ,      399.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-F007   ,        1.0 ,      299.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-C003   ,        1.0 ,       89.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-C005   ,        1.0 ,       64.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-C007   ,        1.0 ,       59.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-C009   ,        1.0 ,       99.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-W004   ,        1.0 ,      349.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-W009   ,        2.0 ,       34.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-B004   ,        1.0 ,      199.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-B006   ,        2.0 ,       54.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                 ,STO-COMP-2024-D004   ,        1.0 ,      299.99 ,Nos
